text,sentiment_score,used_tokens
@chiarazambrano @ABSCBNNews The British during ww2 through the Special Operations Executive and the London Controll… https://t.co/iD6A2RN7JN,0.4019,0.0625
"@aireuhl_ Gosh, I hope your mom didn't use any toxic green paint on her hair!",0.4926,0.14285714285714285
RT @aireuhl_: my sister had crazy hair day at school today and my mom was not playing games and really wanted her to win 😂 https://t.co/owo…,0.2042,0.2
"RT @rapplerdotcom: Hirap ka na bang kumapit? 😰 Hustle lang, bes! 💪🏻

Make sure to subscribe to Hustle, the 20-something's guide to working…",0.3802,0.045454545454545456
"@IrenaBuzarewicz This is life, exactly. Don't you think? https://t.co/XVExd511lI",0.0,0.1111111111111111
Get on with #Brexit and put out the fires one by one. Have a lovely Spring weekend ma'am!,0.6239,0.058823529411764705
"As an aside, the giraffe in the picture could be Europe, and the passenger looking out of the aircraft is Britain… https://t.co/ttKykYX78l",0.0,0.0
"(or to that effect) earlier on. Now, the PM isn't mincing her words. She has given her cabinet an actual stern ulti… https://t.co/jAIiohnw73",0.0,0.043478260869565216
"@BBCNuala hello! By the way ma'am, here's to #Brexit if it weren't so tragic, it'd be hilarious. And a presentor in… https://t.co/wvJBZ7fvtH",0.728,0.19047619047619047
"RT @nytimes: Google was fined $1.7 billion for antitrust violations, the third such penalty against the company by the European authorities…",-0.7506,0.09523809523809523
RT @rapplerdotcom: The Ateneo Lady Eagles rally from two sets down against the UST Golden Tigresses to stretch their winning streak to 7 ga…,0.5267,0.043478260869565216
RT @mashable: NASA photos capture the historic flooding of a critical U.S. Air Force base https://t.co/PBQ5XPjj93 https://t.co/Ow3hdX45Fk,-0.3182,0.0625
RT @inquirerdotnet: A daughter allegedly “let go” of her mother who joined a “socially harmful cult” that taught her bizarre practices. htt…,-0.3182,0.05
RT @washingtonpost: Analysis: Cyclone Idai could be the Southern Hemisphere’s deadliest storm https://t.co/O56zce9FNs,0.0,0.0
RT @washingtonpost: Opinion: Anti-Irish bigotry is mostly gone. But we shouldn’t forget the gift of being Irish. https://t.co/oeEjAuSO7p,0.25,0.1111111111111111
RT @Emmabarnett: Boom. Let's do this @BBCNewsnight https://t.co/wHwTblUJti,0.0,0.0
@BBCNewsPR Missing @BBCNuala in BBCOS lately,-0.296,0.16666666666666666
"RT @lespaul55_57: 'It's not enough to be nice in life. You've got to have nerve'

           Georgia O'Keeffe 

Georgia O'Keeffe (B), New Y…",0.4215,0.09090909090909091
"RT @teddyboylocsin: That's what Pompeo told me. Ted, hey, don't turn your nose up at Chinese deals. Not saying that. But read the fine prin…",0.2023,0.12
RT @openculture: Carl Sagan Explains Evolution in an 8-Minute Animation https://t.co/2QRhCd1LU1 https://t.co/DUmRAi6QGR,0.0,0.0
@marizumali you are breathtaking in your reportage #24Oras liked your short hair and your teal colored blouse,0.7003,0.11764705882352941
"RT @USMC: Make it Rain

Marines fire an M777A2 155mm Howitzer while taking part in the 10th Marine Regiment Top Gun competition for Exercis…",-0.4588,0.125
"RT @washingtonpost: George W. Bush: ""May we never forget that immigration is a blessing and a strength"" https://t.co/mucdJavpgi",0.7944,0.25
RT @SketchesbyBoze: why declare your feelings to a crush when you could just call her names and save her from drowning in the pond and near…,0.3818,0.08
"RT @SketchesbyBoze: you can spend your life being cynical and “cool” and uncaring, or you can embrace the joy of staying passionate and lov…",0.7845,0.16666666666666666
"RT @SketchesbyBoze: just know that if we’re in a relationship, first base is silently reading together, second base is stealing a yacht and…",-0.5719,0.047619047619047616
@teddyboylocsin what's the significance of the revolver in this charcoal rendering of you? https://t.co/oTHzKRV02U,0.2732,0.07142857142857142
@loveintagalog Actually. Predated pilates.,0.0,0.0
RT @hidden_disaster: @idolrapline the fact that heard also took advantage of the whole Me Too movement and discredited so many real victims…,-0.2263,0.13636363636363635
"RT @MrLorag: @teddyboylocsin A tsaynis grup provided all d equipt/mach for PASAR expansion. In a few months, PASAR mothballed the whole pla…",0.0,0.0
